Time measurements per disk in nanoseconds
Number of Disks | Recursion       | Iteration       |
1               | 11000           | 25200           |
2               | 8200            | 20900           |
3               | 5500            | 24900           |
4               | 8600            | 50900           |
5               | 34000           | 105200          |
6               | 37100           | 179500          |
7               | 20400           | 312600          |
8               | 31000           | 154800          |
9               | 51700           | 500800          |
10              | 60100           | 289400          |
11              | 56400           | 786200          |
12              | 119000          | 450700          |
13              | 60100           | 623400          |
14              | 69100           | 2004000         |
15              | 168300          | 8075400         |


Summary measurements:
Statistic       | Recursion       | Iteration       |
Total           | 740500          | 13603900        |
Average         | 49366           | 906926          |
